Fecha;Temperatura;Humedad_rel;WH2;WH3;WH4;WH5;WH6;WH7;FH1;Consumo
06/01/2009 7:00;275,0995534;0,814719422;1;0;0;0;0;0;1;1811
06/01/2009 8:00;275,2617866;0,817681916;1;0;0;0;0;0;1;2403
06/01/2009 9:00;275,2157015;0,847682606;1;0;0;0;0;0;1;3097
06/01/2009 10:00;275,4588948;0,83878732;1;0;0;0;0;0;1;3313
06/01/2009 11:00;276,3849806;0,806340437;1;0;0;0;0;0;1;3770
06/01/2009 12:00;277,0699692;0,792612303;1;0;0;0;0;0;1;4367
06/01/2009 13:00;276,8353711;0,816894391;1;0;0;0;0;0;1;4102
06/01/2009 14:00;276,8857022;0,763844906;1;0;0;0;0;0;1;3874
06/01/2009 15:00;277,2907568;0,65855408;1;0;0;0;0;0;1;3383
06/01/2009 16:00;277,0534322;0,643649449;1;0;0;0;0;0;1;3532
06/01/2009 17:00;276,2669616;0,685763161;1;0;0;0;0;0;1;3393
06/01/2009 18:00;275,2772957;0,733507016;1;0;0;0;0;0;1;3280
06/01/2009 19:00;274,5103496;0,770720243;1;0;0;0;0;0;1;3441
06/01/2009 20:00;273,9205788;0,80117744;1;0;0;0;0;0;1;3689
06/01/2009 21:00;273,4350676;0,819842981;1;0;0;0;0;0;1;3587
06/01/2009 22:00;273,1235354;0,842079611;1;0;0;0;0;0;1;3808
06/01/2009 23:00;273,107375;0,853925044;1;0;0;0;0;0;1;3363
07/01/2009 0:00;273,0366339;0,842856312;0;1;0;0;0;0;0;3960
07/01/2009 1:00;272,4270601;0,825922258;0;1;0;0;0;0;0;3348
07/01/2009 2:00;271,6556845;0,807475006;0;1;0;0;0;0;0;2806
07/01/2009 3:00;271,0101748;0,798473942;0;1;0;0;0;0;0;3447
07/01/2009 4:00;270,75616;0,803573511;0;1;0;0;0;0;0;3397
07/01/2009 5:00;270,6512707;0,818502035;0;1;0;0;0;0;0;3235
07/01/2009 6:00;270,5972401;0,840963121;0;1;0;0;0;0;0;3176
07/01/2009 7:00;270,5510999;0,857444461;0;1;0;0;0;0;0;3220
07/01/2009 8:00;270,5108031;0,855916522;0;1;0;0;0;0;0;3923
07/01/2009 9:00;270,6431639;0,839361263;0;1;0;0;0;0;0;4449
07/01/2009 10:00;271,2453527;0,810933847;0;1;0;0;0;0;0;4559
07/01/2009 11:00;272,286914;0,788118517;0;1;0;0;0;0;0;4628
07/01/2009 12:00;273,2361136;0,735683928;0;1;0;0;0;0;0;4635
07/01/2009 13:00;273,9185643;0,685376779;0;1;0;0;0;0;0;5140
07/01/2009 14:00;274,5118848;0,648102944;0;1;0;0;0;0;0;4794
07/01/2009 15:00;274,7496247;0,639475566;0;1;0;0;0;0;0;3851
07/01/2009 16:00;274,414263;0,662503716;0;1;0;0;0;0;0;3988
07/01/2009 17:00;273,6302217;0,716526122;0;1;0;0;0;0;0;4347
07/01/2009 18:00;272,8980552;0,773461475;0;1;0;0;0;0;0;4486
07/01/2009 19:00;272,38404;0,796977606;0;1;0;0;0;0;0;4498
07/01/2009 20:00;271,8724461;0,804901777;0;1;0;0;0;0;0;4234
07/01/2009 21:00;271,5645602;0,816375612;0;1;0;0;0;0;0;4432
07/01/2009 22:00;271,580673;0,823388506;0;1;0;0;0;0;0;4498
07/01/2009 23:00;271,9081133;0,821271819;0;1;0;0;0;0;0;3972
08/01/2009 0:00;272,2929125;0,819333051;0;0;1;0;0;0;0;3629
08/01/2009 1:00;272,5589065;0,821691345;0;0;1;0;0;0;0;3339
08/01/2009 2:00;273,0673936;0,85262576;0;0;1;0;0;0;0;3423
08/01/2009 3:00;272,7756038;0,814167716;0;0;1;0;0;0;0;3319
08/01/2009 4:00;272,804838;0,817077594;0;0;1;0;0;0;0;3291
08/01/2009 5:00;272,756318;0,834083943;0;0;1;0;0;0;0;3049
08/01/2009 6:00;272,6140614;0,859297273;0;0;1;0;0;0;0;2994
08/01/2009 7:00;271,7726853;0,825582031;0;0;1;0;0;0;0;3184
08/01/2009 8:00;271,8631117;0,833556086;0;0;1;0;0;0;0;3890
08/01/2009 9:00;271,9784947;0,860849785;0;0;1;0;0;0;0;4203
08/01/2009 10:00;272,0819021;0,883732266;0;0;1;0;0;0;0;4187
08/01/2009 11:00;272,0638922;0,901466116;0;0;1;0;0;0;0;4860
08/01/2009 12:00;272,1083602;0,868308241;0;0;1;0;0;0;0;5147
08/01/2009 13:00;272,4981392;0,815495065;0;0;1;0;0;0;0;4832
08/01/2009 14:00;273,0924426;0,766683209;0;0;1;0;0;0;0;4420
08/01/2009 15:00;273,5347616;0,726718866;0;0;1;0;0;0;0;3702
08/01/2009 16:00;273,7014227;0,707957835;0;0;1;0;0;0;0;4483
08/01/2009 17:00;273,3183563;0,720313241;0;0;1;0;0;0;0;5030
08/01/2009 18:00;272,7390894;0,781425769;0;0;1;0;0;0;0;4725
08/01/2009 19:00;272,436418;0,82032947;0;0;1;0;0;0;0;4643
08/01/2009 20:00;272,124784;0,816575409;0;0;1;0;0;0;0;4403
